Assembly	assembly
# misassemblies	2
  # contig misassemblies	2
    # c. relocations	2
    # c. translocations	0
    # c. inversions	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	1
Misassembled contigs length	4838
# possibly misassembled contigs	244
    # possible misassemblies	471
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	94
# mismatches	59603
# indels	6847
    # indels (<= 5 bp)	6678
    # indels (> 5 bp)	169
Indels length	12486
